label,message,length
0,go jurong point crazy available bugis n great world la e buffet cine got amore wat,111
0,ok lar joking wif u oni,29
1,free entry 2 wkly comp win fa cup final tkts 21st may 2005 text fa 87121 receive entry question std txt rate c s apply 08452810075over18 s,155
0,u dun say early hor u c already say,49
0,nah nt think go usf life around though,61
1,freemsg hey darling s 3 week s word back d like fun still tb ok xxx std chgs send å£150 rcv,148
0,even brother like speak treat like aid patent,77
0,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friend callertune,160
1,winner valued network customer selected receivea å£900 prize reward claim call 09061701461 claim code kl341 valid 12 hour,158
1,mobile 11 month u r entitled update latest colour mobile camera free call mobile update co free 08002986030,154
0,m gon na home soon nt want talk stuff anymore tonight k ve cried enough today,109
1,six chance win cash 100 20000 pound txt csh11 send 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 info,136
1,urgent 1 week free membership å£100000 prize jackpot txt word claim 81010 c wwwdbuknet lccltd pobox 4403ldnw1a7rw18,156
0,ve searching right word thank breather promise wont take help granted fulfil promise wonderful blessing time,196
0,date sunday,35
1,xxxmobilemovieclub use credit click wap link next txt message click http wap xxxmobilemovieclubcom nqjkgighjjgcbl,149
0,oh k m watching,26
0,eh u remember 2 spell name yes v naughty make v wet,81
0,fine thatåõs way u feel thatåõs way gota b,58
1,england v macedonia dont miss goalsteam news txt ur national team 87077 eg england 87077 try wales scotland 4txtì¼120 poboxox36504w45wq 16,156
0,seriously spell name,41
0,iû÷m going try 2 month ha ha joking,49
0,ì pay first lar da stock comin,53
0,aft finish lunch go str lor ard 3 smth lor u finish ur lunch already,88
0,ffffffffff alright way meet sooner,57
0,forced eat slice m really hungry tho suck mark getting worried know m sick turn pizza lol,144
0,lol always convincing,30
0,catch bus frying egg make tea eating mom s left dinner feel love,134
0,m back amp re packing car ll let know s room,75
0,ahhh work vaguely remember feel like lol,64
0,wait s still clear sure sarcastic s x nt want live u,130
0,yeah got 2 v apologetic n fallen actin like spoilt child got caught till 2 wo nt go badly cheer,189
0,k tell anything,29
0,fear fainting housework quick cuppa,84
1,thanks subscription ringtone uk mobile charged å£5month please confirm replying yes reply charged,159
0,yup ok go home look timing msg ì xuhui going learn 2nd may lesson 8am,123
0,oops ll let know roommate s done,47
0,see letter b car,28
0,anything lor u decide,27
0,hello s saturday go texting see d decided anything tomo m trying invite anything,155
0,pls go ahead watt wanted sure great weekend abiola,82
0,forget tell want need crave love sweet arabian steed mmmmmm yummy,142
1,07732584351 rodger burns msg tried call reply sm free nokia mobile free camcorder please call 08000930705 delivery tomorrow,172
0,seeing,19
0,great hope like man well endowed lt gt inch,72
0,call message missed call,32
0,nt get hep b immunisation nigeria,45
0,fair enough anything going,31
